b, b, b, b, b, b, b, b, a, b, b, b, b, b, a, a, a, a, b, a, a, a, a, b, b, b, a, a, b, b, b, b, b, a, b, b, a, a, a, a, b, b, b, b, b, b, a, b, a, b, b, b, b, a, a, b, b, a, b, b, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, a, a, a, b, b, b, a, a, a, b, b, b, b, a, b, a, b, a, a, a, a, a, a, b, b, b, b, a, b, a, a, a, a, b, a, a, a, b, b, b, a, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, a, a, a, a, b, a, a, a, a, a, b, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, a, a, a, negative
a, b, b, b, b, b, a, a, a, b, b, b, b, b, b, b, b, a, a, a, a, a, a, b, b, b, a, b, b, b, b, b, b, a, b, b, a, a, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, a, b, b, b, b, b, b, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, a, a, a, b, b, b, a, a, b, b, b, b, b, b, a, b, b, b, b, a, a, a, a, b, b, b, b, a, b, a, a, a, a, b, a, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, b, b, b, b, a, a, b, b, b, a, a, a, a, b, b, a, a, a, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, b, a, a, a, positive
a, b, b, b, b, b, a, a, a, a, a, a, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, a, a, b, b, b, a, a, b, b, b, b, b, b, b, b, b, a, a, a, b, a, a, a, a, a, b, b, a, b, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, b, b, a, a, a, a, a, a, a, b, b, b, a, a, a, a, a, a, a, b, a, a, b, a, a, a, a, a, a, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, b, a, a, a, a, a, a, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, negative
a, b, b, b, b, b, b, b, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, a, a, a, a, a, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, a, b, b, a, b, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, b, b, b, b, b, a, a, b, a, a, a, a, a, a, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, a, a, b, a, b, a, a, a, a, a, a, a, a, a, b, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, b, a, a, a, positive
a, a, b, a, a, b, a, a, a, a, b, b, b, b, a, a, a, a, b, a, a, a, a, b, b, b, a, b, b, b, b, b, b, a, a, b, a, a, b, b, b, a, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, a, b, b, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, b, a, a, b, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, negative
a, a, a, a, a, a, a, a, b, a, a, b, b, b, a, a, a, a, a, a, a, a, a, b, b, b, a, a, b, b, b, b, b, a, a, b, a, a, b, b, b, a, a, a, a, a, a, a, b, b, b, b, a, a, a, a, a, a, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, positive
a, b, b, b, b, a, a, a, a, b, b, b, b, b, a, a, a, a, b, a, a, a, a, b, b, b, a, b, b, a, a, a, a, a, a, b, b, b, a, a, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, a, b, b, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, a, a, a, a, a, a, a, b, b, b, a, a, a, b, b, b, b, a, a, a, b, a, a, a, a, a, a, b, b, b, b, b, b, a, a, a, a, a, a, a, a, b, b, b, a, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, a, a, a, a, b, b, a, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, negative
a, a, a, b, b, b, a, a, b, a, b, b, b, b, a, a, a, a, b, a, a, a, a, b, b, b, a, a, b, b, b, b, b, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, b, b, b, b, b, a, a, b, b, a, b, b, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, a, a, a, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, a, a, a, a, a, a, a, a, a, a, b, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, b, a, a, a, positive
b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, b, a, b, b, a, b, b, b, a, b, b, b, b, b, b, a, b, b, a, a, b, b, b, a, a, a, a, a, a, a, b, b, b, b, a, a, a, b, b, a, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, a, b, b, a, a, a, a, b, b, b, a, a, b, b, b, b, b, a, a, b, b, a, a, b, b, b, b, b, b, b, b, a, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, a, b, a, a, a, a, b, b, a, a, a, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, b, a, a, negative
a, a, b, a, a, b, a, a, b, b, b, b, b, b, b, b, b, b, a, b, a, a, a, b, b, b, a, b, b, b, b, b, b, a, a, b, a, a, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, a, b, b, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, a, a, a, b, a, a, a, a, a, a, b, b, b, b, a, a, b, b, a, a, b, a, a, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, b, a, a, b, a, a, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, b, a, a, positive
b, a, a, a, a, b, a, a, b, a, b, b, b, b, a, b, b, a, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, a, a, b, a, a, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, a, a, a, a, a, b, b, a, b, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, a, b, a, a, a, a, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, a, a, a, a, b, a, a, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, negative
